SW-09,RStudio / R Tools,Software,Statistics & data analysis,Faculty,Fintech Lab,Internal,Medium,R package libs
SW-10,Oracle / Peach Tree,Software,Used for finance/lab practice,Faculty,Fintech Lab,Confidential,Medium,License
SW-11,Antivirus (ESET/Windows Defender),Software,Malware protection,IT Dept,All PCs,Internal,Medium,Update Server
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,Data Assets (most important category),,,,,
,,,,,,,,
,,,,,,,,
Asset ID,Asset Name,Category,Description,Owner,Location,Classification,Value,Dependencies
DA-01,Student Fee Records,Data,Fee challans/ dues/ payments,Accountant,ERP Cloud,Confidential,High,ERP
DA-02,Payroll Records,Data,Salary slips & employee financial data,Payroll Officer,Payroll System,Confidential,High,Payroll System
DA-03,Vendor Invoices & Contracts,Data,Procurement financial data,Procurement Officer,System + Cabinets,Confidential,High,Vendor Portal
DA-04,Budget Documents,Data,Annual budgets & financial forecasts,Head of A&F,NAS/Cloud,Internal,High,Excel
DA-05,Audit Reports,Data,Internal/external audit files,Internal Audit,Shared Drive,Confidential,High,ERP
DA-06,Exam Papers & Solutions,Data,Exam material (highly sensitive),Faculty,A&F Offices,Confidential,High,Printer + Storage
DA-07,Student Personal Records,Data,Names/ IDs/ transcripts,Finance/Faculty,Cloud + Office Files,Confidential,High,ERP + LMS
DA-08,Attendance Sheets,Data,Student attendance for courses,Faculty,Office Files,Internal,Medium,Office Docs
DA-09,Research & Project Submissions,Data,FYPs & research,Faculty,Fintech Lab PCs,Internal,Medium,Lab Machines
DA-10,Letters & Correspondence,Data,Official administrative letters,Admin Staff,Office Cabinets,Internal,Medium,Print/Scan
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,Cloud Assets,,,,,
,,,,,,,,
,,,,,,,,
Asset ID,Asset Name,Category,Description,Owner,Location,Classification,Value,Dependencies
CL-01,OneDrive Cloud Storage,Cloud,Stores finance files,Faculty + Finance Staff,Microsoft Cloud,Confidential,High,MFA
CL-02,Cloud ERP Database,Cloud,Stores all financial data,ERP Vendor,Cloud,Confidential,High,Internet
CL-03,Shared Network Drives,Cloud/Network,Used for departmental storage,IT Dept,NAS/Cloud,Internal,High,LAN
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,Network Assets,,,,,
,,,,,,,,
,,,,,,,,
Asset ID,Asset Name,Category,Description,Owner,Location,Classification,Value,Dependencies
NT-01,Finance VLAN,Network,Department isolated network,IT Dept,A&F Block,Confidential,High,Switch + Firewall
NT-02,Fintech Lab Network,Network,Student lab network,IT Dept,Fintech Lab,Internal,Medium,VLAN
NT-03,Wi-Fi AP (Finance Block),Network,Staff Wi-Fi,IT Dept,Finance Block,Internal,Medium,Network Passkey
NT-04,Firewall Ruleset,Network,Protects against unauthorized access,IT Dept,Main Server Room,Confidential,High,Firewall Device
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,Physical Assets,,,,,
,,,,,,,,
,,,,,,,,
Asset ID,Asset Name,Category,Description,Owner,Location,Classification,Value,Dependencies
PH-01,Finance File Cabinet,Physical,Stores financial documents,A&F Staff,Office,Confidential,High,Physical Lock
PH-02,Exam Paper Storage Cabinet,Physical,Stores exam papers,Faculty,A&F Offices,Confidential,High,Lock + Room Access
PH-03,Secure Drawer (Payroll),Physical,Stores salary hardcopies,Payroll Officer,Payroll Desk,Confidential,Medium,Drawer Key
PH-04,Visitor Logbook,Physical,Visitor record book,Admin,Reception,Internal,Low,Manual Process
PH-05,Whiteboards with content,Physical,Teaching material,Faculty,Fintech Lab,Internal,Low,Erasable
